Timestamp	C11	C12	C13	C14	C15	C16	C51	C52	C53	C54	C55	C56	C21	C22	C23	C61	C62	C63	C31	C32	C33	C34	C35	C36	C71	C72	C73	C74	C75	C76
2021-11-08 00:34:07.60592	1527.384	1536.789	1539.181	1545.625	1554.780	1559.674	1531.010	1534.600	1539.076	1545.567	1554.827	1561.049	1530.054	1535.982	1547.824	1530.060	1540.050	1548.919	1531.345	1533.883	1542.725	1545.923	1553.901	1559.915	1527.781	1533.690	1539.065	1549.015	1554.898	1560.764
2021-11-08 01:34:07.60592	1527.384	1536.788	1539.181	1545.624	1554.780	1559.674	1531.010	1534.600	1539.076	1545.567	1554.827	1561.049	1530.054	1535.982	1547.824	1530.060	1540.050	1548.919	1531.345	1533.883	1542.725	1545.924	1553.901	1559.915	1527.781	1533.690	1539.066	1549.015	1554.898	1560.764
2021-11-08 02:34:07.60592	1527.384	1536.788	1539.181	1545.625	1554.780	1559.674	1531.011	1534.599	1539.076	1545.567	1554.827	1561.049	1530.054	1535.982	1547.824	1530.060	1540.050	1548.918	1531.345	1533.883	1542.725	1545.923	1553.901	1559.914	1527.780	1533.689	1539.065	1549.014	1554.898	1560.764
2021-11-08 03:34:07.60592	1527.384	1536.788	1539.181	1545.625	1554.780	1559.674	1531.010	1534.600	1539.075	1545.567	1554.827	1561.049	1530.054	1535.983	1547.824	1530.060	1540.049	1548.919	1531.345	1533.883	1542.725	1545.924	1553.901	1559.915	1527.780	1533.689	1539.065	1549.015	1554.898	1560.764
2021-11-08 04:34:07.60592	1527.384	1536.788	1539.181	1545.625	1554.781	1559.674	1531.010	1534.600	1539.076	1545.568	1554.827	1561.049	1530.054	1535.982	1547.824	1530.060	1540.050	1548.919	1531.345	1533.883	1542.725	1545.923	1553.900	1559.915	1527.781	1533.690	1539.065	1549.015	1554.898	1560.764
2021-11-08 05:34:07.60592	1527.384	1536.788	1539.181	1545.625	1554.781	1559.674	1531.010	1534.600	1539.076	1545.567	1554.827	1561.049	1530.054	1535.982	1547.824	1530.059	1540.049	1548.919	1531.345	1533.883	1542.725	1545.924	1553.900	1559.914	1527.781	1533.690	1539.066	1549.014	1554.898	1560.764
2021-11-08 06:34:07.60592	1527.384	1536.788	1539.181	1545.624	1554.780	1559.675	1531.011	1534.600	1539.076	1545.567	1554.827	1561.049	1530.054	1535.982	1547.823	1530.059	1540.050	1548.919	1531.345	1533.883	1542.725	1545.923	1553.900	1559.914	1527.780	1533.689	1539.066	1549.015	1554.898	1560.764
2021-11-08 07:34:07.60592	1527.384	1536.789	1539.181	1545.624	1554.781	1559.674	1531.010	1534.600	1539.076	1545.567	1554.827	1561.049	1530.054	1535.983	1547.824	1530.059	1540.050	1548.918	1531.345	1533.883	1542.725	1545.923	1553.900	1559.914	1527.780	1533.689	1539.065	1549.014	1554.898	1560.764
2021-11-08 08:34:07.60592	1527.384	1536.788	1539.181	1545.625	1554.780	1559.674	1531.010	1534.600	1539.076	1545.567	1554.827	1561.049	1530.054	1535.983	1547.823	1530.059	1540.050	1548.919	1531.345	1533.883	1542.725	1545.924	1553.900	1559.914	1527.781	1533.690	1539.065	1549.015	1554.898	1560.764
2021-11-08 09:34:07.60592	1527.384	1536.788	1539.181	1545.625	1554.780	1559.674	1531.011	1534.600	1539.076	1545.567	1554.827	1561.049	1530.054	1535.982	1547.824	1530.059	1540.050	1548.919	1531.345	1533.883	1542.725	1545.924	1553.900	1559.914	1527.780	1533.689	1539.065	1549.014	1554.898	1560.764
2021-11-08 10:34:07.60592	1527.384	1536.788	1539.181	1545.625	1554.780	1559.674	1531.010	1534.600	1539.076	1545.567	1554.827	1561.049	1530.054	1535.982	1547.824	1530.059	1540.050	1548.919	1531.345	1533.883	1542.725	1545.924	1553.900	1559.914	1527.781	1533.690	1539.065	1549.015	1554.898	1560.764
2021-11-08 11:34:07.60592	1527.384	1536.789	1539.181	1545.625	1554.780	1559.675	1531.011	1534.600	1539.076	1545.568	1554.827	1561.049	1530.054	1535.982	1547.824	1530.060	1540.050	1548.919	1531.345	1533.883	1542.725	1545.923	1553.900	1559.915	1527.781	1533.690	1539.065	1549.015	1554.898	1560.764
2021-11-08 12:34:07.60592	1527.384	1536.789	1539.181	1545.625	1554.780	1559.674	1531.010	1534.600	1539.076	1545.568	1554.827	1561.049	1530.054	1535.983	1547.824	1530.060	1540.050	1548.920	1531.345	1533.883	1542.725	1545.924	1553.901	1559.914	1527.781	1533.690	1539.066	1549.015	1554.898	1560.764
2021-11-08 13:34:07.60592	1527.384	1536.789	1539.181	1545.625	1554.781	1559.674	1531.011	1534.600	1539.076	1545.568	1554.827	1561.049	1530.054	1535.983	1547.823	1530.060	1540.050	1548.920	1531.345	1533.883	1542.725	1545.924	1553.901	1559.914	1527.781	1533.690	1539.066	1549.015	1554.898	1560.765
2021-11-08 14:34:07.60592	1527.384	1536.789	1539.181	1545.625	1554.780	1559.674	1531.011	1534.600	1539.076	1545.568	1554.827	1561.049	1530.054	1535.982	1547.823	1530.060	1540.051	1548.919	1531.345	1533.883	1542.725	1545.924	1553.901	1559.914	1527.781	1533.690	1539.066	1549.015	1554.898	1560.764
