"TOA5","COM1","CR1000","55447","CR1000.Std.25","CPU:LIMHA_3_1.CR1","64968","limha"
"TIMESTAMP","RECORD","vw(1)","vw(2)","vw(3)","vw(4)","vw(5)","vw(6)","vw(7)","vw(8)","vw(9)","vw(10)","vw(11)","vw(12)","vw(13)","vw(14)","vw(15)","vw(16)","vw(17)","vw(18)","vw_t(1)","vw_t(2)","vw_t(3)","vw_t(4)","vw_t(5)","vw_t(6)","vw_t(7)","vw_t(8)","vw_t(9)","vw_t(10)","vw_t(11)","vw_t(12)","vw_t(13)","vw_t(14)","vw_t(15)","vw_t(16)","vw_t(17)","vw_t(18)","logvolt","logtemp","strain_1","strain_2","temp_1","RST1_A","RST1_B","RST2_A","RST2_B"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-03-25 19:00:00",51796,1586.662,"NAN",1569.574,1549.395,1551.486,1596.373,1576.164,1577.149,1551.152,1606.612,1503.34,1579.938,9097.328,9061.354,7885.688,9238.423,8465.747,8680.918,11.69458,10.86111,11.40564,9.99594,11.10706,-84.08152,11.5433,9.978668,11.72257,11.73212,11.59814,11.65836,9.471222,10.74789,11.78195,12.00433,9.838348,5.582642,13.26,19,-1128.983,-1236.186,"NAN",-127.3296,319.6785,132.7479,207.9265
"2021-03-25 20:00:00",51797,1586.655,"NAN",1569.568,1549.407,1551.491,1596.382,1576.156,1577.16,1551.147,1606.629,1503.356,1579.928,9097.355,9061.367,7885.718,9238.595,8465.89,8681.071,11.70099,10.86899,11.40628,9.996398,11.11023,-84.12392,11.54459,9.979889,11.72482,11.73288,11.60165,11.66071,9.548889,10.74808,11.78125,12.00473,9.837401,5.583831,13.29,18.12,-1125.633,-1219.436,"NAN",-124.6672,319.7985,132.7977,208.6821
"2021-03-25 21:00:00",51798,1586.652,"NAN",1569.562,1549.415,1551.495,1596.384,1576.152,1577.164,1551.141,1606.642,1503.36,1579.918,9097.359,9061.442,7885.547,9238.731,8466.001,8681.219,11.70703,10.8768,11.40671,9.996521,11.11374,-84.15067,11.54565,9.980774,11.72766,11.73453,11.60581,11.66409,9.641847,10.74817,11.78055,12.00476,9.838715,5.583405,13.3,17.16,-1125.633,-1227.811,"NAN",-124.7035,319.8915,133.5141,209.4205
"2021-03-25 22:00:00",51799,1586.648,"NAN",1569.556,1549.424,1551.494,1596.388,1576.146,1577.172,1551.136,1606.652,1503.36,1579.913,9097.331,9061.297,7885.517,9238.856,8466.078,8681.34,11.71304,10.88345,11.40729,9.997284,11.11716,-84.15862,11.54697,9.980927,11.73074,11.73621,11.6106,11.66702,9.671417,10.74789,11.77991,12.00528,9.839232,5.581299,13.32,16.41,-1125.82,-1233.041,"NAN",-126.059,320.5693,132.1586,208.0651
"2021-03-25 23:00:00",51800,1586.646,"NAN",1569.552,1549.429,1551.49,1596.388,1576.142,1577.176,1551.133,1606.659,1503.354,1579.906,9097.285,9061.317,7885.343,9238.94,8466.126,8681.436,11.71869,10.88928,11.40781,9.997834,11.12076,-84.17056,11.54825,9.983368,11.73428,11.73804,11.61533,11.67136,9.393097,10.74744,11.77915,12.00528,9.839385,5.582153,13.33,15.8,-1127.526,-1234.75,"NAN",-126.7367,318.5361,134.1918,206.0318
"2021-03-26 00:00:00",51801,1586.643,"NAN",1569.547,1549.435,1551.489,1596.388,1576.136,1577.181,1551.13,1606.662,1503.358,1579.901,9097.258,9061.289,7885.292,9238.995,8466.148,8681.509,11.72318,10.89545,11.40854,9.998566,11.12409,-84.18143,11.54962,9.984619,11.73843,11.74032,11.62003,11.67484,9.347076,10.74716,11.77844,12.0054,9.839417,5.582062,13.35,15.14,-1125.828,-1229.699,"NAN",-124.7035,321.247,131.4809,208.0651
"2021-03-26 01:00:00",51802,1586.642,"NAN",1569.541,1549.442,1551.49,1596.391,1576.13,1577.187,1551.127,1606.666,1503.359,1579.897,9097.229,9061.218,7885.233,9239.025,8466.158,8681.56,11.72809,10.89996,11.40955,9.999573,11.12827,-84.18843,11.55121,9.986085,11.74185,11.74317,11.62442,11.67917,9.319031,10.74674,11.77771,12.00568,9.839753,5.581635,13.37,14.52,-1129.344,-1231.555,"NAN",-123.348,321.247,131.4809,208.7428
"2021-03-26 02:00:00",51803,1586.641,"NAN",1569.539,1549.446,1551.49,1596.393,1576.123,1577.192,1551.125,1606.666,1503.372,1579.892,9097.199,9061.166,7885.119,9239.028,8466.162,8681.596,11.7327,10.9054,11.41046,10.0015,11.13144,-84.19144,11.55286,9.988556,11.74564,11.746,11.62848,11.68301,9.347899,10.74643,11.77725,12.00632,9.840027,5.580873,13.37,13.87,-1127.868,-1235.125,"NAN",-124.0257,321.247,132.1586,208.7428
"2021-03-26 03:00:00",51804,1586.64,"NAN",1569.533,1549.45,1551.486,1596.395,1576.118,1577.199,1551.123,1606.666,1503.354,1579.887,9097.174,9061.136,7885.073,9239.021,8466.153,8681.628,11.73685,10.90848,11.41132,10.0015,11.13498,-84.18056,11.55435,9.989137,11.74957,11.74875,11.63306,11.68689,9.355529,10.74609,11.77661,12.00613,9.840546,5.580048,13.38,13.28,-1126.207,-1226.761,"NAN",-124.7035,321.247,132.8363,208.7428
"2021-03-26 04:00:00",51805,1586.637,"NAN",1569.529,1549.453,1551.483,1596.395,1576.112,1577.201,1551.121,1606.665,1503.355,1579.883,9097.132,9061.074,7884.951,9239.009,8466.142,8681.639,11.74017,10.91193,11.41235,10.00223,11.1387,-84.16467,11.556,9.990905,11.75321,11.75143,11.63684,11.69022,9.376586,10.74588,11.77603,12.0065,9.841492,5.580841,13.39,12.58,-1126.385,-1233.66,"NAN",-123.3813,320.6558,132.8721,211.5108
"2021-03-26 05:00:00",51806,1586.636,"NAN",1569.524,1549.457,1551.485,1596.396,1576.107,1577.207,1551.119,1606.665,1503.357,1579.878,9097.115,9061.104,7884.846,9238.989,8466.121,8681.646,11.74344,10.9147,11.4133,10.00391,11.142,-84.17565,11.5578,9.991852,11.75659,11.75443,11.64014,11.694,9.411592,10.74567,11.77548,12.00693,9.842224,5.579224,13.41,11.91,-1129.751,-1233.674,"NAN",-124.0815,320.0354,131.54,208.8367
"2021-03-26 06:00:00",51807,1586.633,"NAN",1569.521,1549.459,1551.482,1596.397,1576.101,1577.21,1551.116,1606.666,1503.361,1579.874,9097.046,9060.942,7884.635,9238.965,8466.085,8681.639,11.74649,10.91791,11.41437,10.00491,11.14557,-84.21046,11.55988,9.993927,11.76013,11.75778,11.64417,11.69727,9.464203,10.74548,11.77506,12.00726,9.842255,5.580322,13.42,11.33,-1129.942,-1227.177,"NAN",-121.3969,322.1426,133.6044,210.2404
"2021-03-26 07:00:00",51808,1586.631,"NAN",1569.518,1549.461,1551.479,1596.398,1576.095,1577.214,1551.113,1606.666,1503.355,1579.869,9096.984,9060.934,7884.516,9238.932,8466.036,8681.621,11.74933,10.92099,11.4155,10.0062,11.14896,-84.22751,11.56128,9.998199,11.7626,11.76001,11.647,11.70053,9.504455,10.74524,11.77429,12.00757,9.843568,5.579743,13.44,10.81,-1128.266,-1237.237,"NAN",-124.1098,320.7867,130.8918,208.2061
"2021-03-26 08:00:00",51809,1586.63,"NAN",1569.515,1549.463,1551.474,1596.399,1576.09,1577.218,1551.113,1606.666,1503.351,1579.865,9096.924,9060.908,7884.346,9238.891,8465.973,8681.59,11.75259,10.92377,11.41623,10.00748,11.15271,-84.22649,11.56314,9.999573,11.7659,11.76267,11.65015,11.70276,9.544585,10.74503,11.77377,12.00781,9.843263,5.578857,13.45,11.02,-1128.266,-1227.178,"NAN",-124.1098,321.4648,132.2482,208.2061
"2021-03-26 09:00:00",51810,1586.629,"NAN",1569.513,1549.464,1551.469,1596.396,1576.088,1577.217,1551.11,1606.665,1503.355,1579.861,9096.869,9060.846,7884.286,9238.843,8465.899,8681.55,11.75516,10.92621,11.41711,10.00873,11.15579,-84.19854,11.5647,10.00113,11.76868,11.76535,11.65274,11.70596,9.589081,10.74494,11.77301,12.00809,9.84442,5.577942,13.41,12.33,-1129.791,-1228.69,"NAN",-123.3928,320.6858,133.5626,208.1407
"2021-03-26 10:00:00",51811,1586.628,"NAN",1569.513,1549.464,1551.463,1596.389,1576.087,1577.217,1551.111,1606.664,1503.358,1579.863,9096.854,9060.747,7884.352,9238.793,8465.835,8681.509,11.75702,10.92822,11.41812,10.00909,11.15875,-84.13691,11.5665,10.00238,11.77112,11.76758,11.6554,11.70834,9.623841,10.7442,11.77209,12.00848,9.843994,5.578736,13.35,14.9,-1129.387,-1236.629,"NAN",-123.3481,322.6026,130.8032,208.7429
"2021-03-26 11:00:00",51812,1586.628,"NAN",1569.512,1549.46,1551.456,1596.382,1576.087,1577.211,1551.111,1606.662,1503.358,1579.861,9096.89,9060.759,7884.496,9238.746,8465.791,8681.461,11.75986,10.93076,11.41943,10.01028,11.16174,-84.04414,11.56808,10.00387,11.77432,11.76941,11.65759,11.71127,9.688081,10.74374,11.77121,12.00824,9.844849,5.576691,13.3,17.51,-1130.68,-1226.159,"NAN",-126.059,319.8917,132.1586,208.7429
"2021-03-26 12:00:00",51813,1586.63,"NAN",1569.515,1549.451,1551.437,1596.363,1576.09,1577.195,1551.112,1606.653,1503.35,1579.863,9096.979,9060.875,7884.805,9238.707,8465.799,8681.426,11.76202,10.93347,11.42029,10.01071,11.16489,-83.99415,11.56964,10.00562,11.77612,11.7717,11.6601,11.7132,9.353882,10.74304,11.77057,12.00867,9.846251,5.576996,13.27,18.97,-1128.984,-1236.188,"NAN",-127.3387,320.3788,132.7574,207.2641
"2021-03-26 13:00:00",51814,1586.63,"NAN",1569.515,1549.449,1551.435,1596.359,1576.088,1577.193,1551.114,1606.649,1503.345,1579.862,9097.076,9060.968,7885.056,9238.689,8465.842,8681.396,11.76413,10.93457,11.42072,10.01236,11.16675,-83.96096,11.5715,10.00717,11.7782,11.77325,11.66306,11.71561,9.240723,10.74249,11.76977,12.009,9.845306,5.57663,13.25,19.65,-1127.068,-1232.573,"NAN",-126.6509,318.3205,132.0691,207.9242
"2021-03-26 14:00:00",51815,1586.632,"NAN",1569.515,1549.443,1551.426,1596.35,1576.09,1577.184,1551.113,1606.645,1503.341,1579.863,9097.217,9061.189,7885.428,9238.717,8465.945,8681.406,11.7656,10.93607,11.42181,10.01303,11.16974,-84.09634,11.57315,10.00852,11.78049,11.77527,11.66483,11.71811,9.272095,10.74133,11.76916,12.00961,9.846649,5.574952,13.24,19.97,-1125.255,-1235.771,"NAN",-127.3282,320.3523,134.101,209.2788
"2021-03-26 15:00:00",51816,1586.631,"NAN",1569.516,1549.437,1551.418,1596.342,1576.091,1577.172,1551.114,1606.637,1503.339,1579.863,9097.374,9061.296,7885.75,9238.772,8466.087,8681.458,11.76749,10.93732,11.42301,10.01413,11.17142,-84.10419,11.57504,10.01068,11.78265,11.77713,11.66696,11.71945,9.31366,10.74112,11.76868,12.00958,9.846772,5.576539,13.23,20.42,-1126.927,-1227.396,"NAN",-126.6509,319.675,132.0691,207.2469
"2021-03-26 16:00:00",51817,1586.63,"NAN",1569.516,1549.433,1551.414,1596.338,1576.09,1577.168,1551.115,1606.634,1503.336,1579.864,9097.533,9061.524,7886.134,9238.87,8466.262,8681.552,11.76916,10.93756,11.42423,10.0152,11.17343,-84.1338,11.57669,10.01206,11.78388,11.77966,11.66882,11.72192,9.360199,10.73917,11.76782,12.00986,9.848388,5.576721,13.22,20.8,-1125.252,-1230.745,"NAN",-128.6828,318.9978,132.0691,206.5697
"2021-03-26 17:00:00",51818,1586.627,"NAN",1569.514,1549.439,1551.423,1596.345,1576.085,1577.173,1551.112,1606.639,1503.346,1579.857,9097.687,9061.687,7886.36,9238.991,8466.474,8681.686,11.76965,10.93903,11.42569,10.01672,11.17523,-84.14668,11.57855,10.01416,11.78571,11.78162,11.67084,11.72394,9.428131,10.73898,11.76749,12.01044,9.849121,5.575409,13.23,20.77,-1121.903,-1235.768,"NAN",-127.3282,320.3523,131.3919,207.2469
"2021-03-26 18:00:00",51819,1586.624,"NAN",1569.511,1549.443,1551.428,1596.354,1576.079,1577.18,1551.109,1606.64,1503.342,1579.852,9097.746,9061.828,7886.35,9239.134,8466.658,8681.836,11.77185,10.94092,11.427,10.01801,11.17697,-84.17143,11.58032,10.01587,11.788,11.78384,11.67227,11.72534,9.483368,10.73892,11.76688,12.01157,9.849579,5.577454,13.23,20.21,-1123.578,-1229.07,"NAN",-125.9736,318.9978,133.4237,207.2469
"2021-03-26 19:00:00",51820,1586.623,"NAN",1569.506,1549.446,1551.432,1596.358,1576.072,1577.184,1551.106,1606.64,1503.346,1579.849,9097.802,9061.849,7886.316,9239.323,8466.833,8681.996,11.77368,10.94327,11.42816,10.01935,11.17831,-84.1953,11.58194,10.01895,11.78967,11.78519,11.67478,11.72733,9.553406,10.73914,11.76669,12.01169,9.850829,5.577026,13.26,19.21,-1120.549,-1231.096,"NAN",-124.6191,316.9659,132.0691,205.8924
"2021-03-26 20:00:00",51821,1586.619,"NAN",1569.502,1549.449,1551.434,1596.362,1576.068,1577.19,1551.105,1606.643,1503.349,1579.844,9097.822,9061.873,7886.27,9239.495,8466.974,8682.156,11.77548,10.94501,11.42935,10.02035,11.17987,-84.2282,11.58337,10.01953,11.7919,11.78729,11.67645,11.72937,9.617585,10.7392,11.76624,12.01254,9.851563,5.578889,13.26,18.15,-1120.608,-1241.212,"NAN",-127.3906,319.8316,134.1667,208.0261
"2021-03-26 21:00:00",51822,1586.618,"NAN",1569.499,1549.452,1551.433,1596.365,1576.063,1577.194,1551.101,1606.645,1503.353,1579.84,9097.843,9061.966,7886.208,9239.642,8467.101,8682.299,11.77826,10.94611,11.43048,10.02106,11.18198,-84.22618,11.58466,10.0203,11.79425,11.78912,11.67807,11.73126,9.647919,10.73898,11.76565,12.01328,9.85205,5.579743,13.29,17.39,-1122.283,-1254.612,"NAN",-126.7367,317.8583,133.5141,206.7096
"2021-03-26 22:00:00",51823,1586.614,"NAN",1569.496,1549.454,1551.433,1596.366,1576.059,1577.196,1551.099,1606.646,1503.354,1579.838,9097.869,9061.911,7886.25,9239.782,8467.209,8682.426,11.77911,10.94797,11.43143,10.02246,11.18417,-84.2282,11.58636,10.02118,11.79608,11.79068,11.68012,11.73349,9.379211,10.73834,11.7652,12.01431,9.853271,5.580201,13.3,16.84,-1118.981,-1229.539,"NAN",-128.0922,317.8583,132.8363,208.0651
"2021-03-26 23:00:00",51824,1586.612,"NAN",1569.493,1549.457,1551.433,1596.367,1576.055,1577.197,1551.097,1606.648,1503.36,1579.833,9097.867,9061.94,7886.206,9239.894,8467.301,8682.55,11.78125,10.95032,11.43256,10.02386,11.18649,-84.24021,11.58786,10.02197,11.79773,11.79276,11.68204,11.73551,9.319458,10.73843,11.76486,12.01486,9.853668,5.580964,13.25,16.27,-1119.138,-1219.66,"NAN",-126.059,319.8915,130.1254,207.3873
"2021-03-27 00:00:00",51825,1586.608,"NAN",1569.489,1549.459,1551.428,1596.367,1576.052,1577.2,1551.094,1606.651,1503.363,1579.831,9097.887,9061.966,7886.252,9239.984,8467.382,8682.648,11.78348,10.95422,11.43372,10.02508,11.18909,-84.25523,11.58911,10.02383,11.80035,11.79462,11.68433,11.73737,9.338502,10.73834,11.76428,12.01532,9.85498,5.57959,13.32,15.65,-1122.521,-1236.448,"NAN",-125.3812,321.247,132.1586,207.3873
"2021-03-27 01:00:00",51826,1586.607,"NAN",1569.487,1549.459,1551.425,1596.363,1576.052,1577.195,1551.093,1606.651,1503.366,1579.827,9097.904,9061.974,7886.193,9240.053,8467.454,8682.744,11.7865,10.95654,11.43463,10.02585,11.19144,-84.27027,11.59085,10.02515,11.80185,11.79605,11.68665,11.73941,9.425995,10.73822,11.76404,12.01559,9.855622,5.579773,13.34,15,-1120.812,-1228.035,"NAN",-126.059,321.9248,132.8363,207.3873
"2021-03-27 02:00:00",51827,1586.604,"NAN",1569.484,1549.461,1551.421,1596.358,1576.048,1577.196,1551.092,1606.65,1503.36,1579.825,9097.937,9062.083,7886.288,9240.12,8467.53,8682.839,11.78885,10.95941,11.43573,10.02731,11.19458,-84.27033,11.59229,10.0264,11.80429,11.79807,11.68903,11.74188,9.306764,10.73798,11.76321,12.01703,9.85675,5.58014,13.35,14.37,-1122.69,-1226.58,"NAN",-126.7367,319.8915,133.5141,208.7428
"2021-03-27 03:00:00",51828,1586.603,"NAN",1569.481,1549.462,1551.42,1596.356,1576.044,1577.197,1551.089,1606.65,1503.362,1579.823,9097.989,9062.176,7886.403,9240.19,8467.639,8682.926,11.79187,10.96246,11.43695,10.02835,11.19656,-84.16562,11.59387,10.02841,11.80573,11.7998,11.6918,11.74411,9.171203,10.73749,11.76315,12.01709,9.857148,5.580597,13.38,13.75,-1122.854,-1231.787,"NAN",-126.7367,321.9248,132.8363,210.0983
